epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18605.3,0.83094,0.4641,0.87613,0.91215,0.87621,0.88455,0.62273,0.88167,0.44579,0.87849,0.0007294,0.0007294,0.0007294
43,19044.1,0.81431,0.46041,0.87214,0.90526,0.88372,0.88558,0.62197,0.88744,0.447,0.88061,0.0007228,0.0007228,0.0007228
44,19481.9,0.82626,0.46531,0.87522,0.88009,0.88586,0.87812,0.61087,0.90242,0.45319,0.88076,0.0007162,0.0007162,0.0007162
45,19922.1,0.81631,0.46021,0.8739,0.90284,0.87276,0.8838,0.62041,0.89428,0.44747,0.88044,0.0007096,0.0007096,0.0007096
46,20359,0.81815,0.45884,0.87302,0.8821,0.88656,0.88665,0.62052,0.88618,0.44805,0.87727,0.000703,0.000703,0.000703
47,20796.8,0.81081,0.4561,0.87142,0.8876,0.88573,0.87869,0.61918,0.89024,0.4435,0.8812,0.0006964,0.0006964,0.0006964
48,21235,0.81162,0.45418,0.87079,0.91142,0.88874,0.88854,0.62169,0.88247,0.44118,0.87897,0.0006898,0.0006898,0.0006898
49,21674.3,0.81558,0.45874,0.87034,0.89996,0.88128,0.8921,0.62325,0.8862,0.44237,0.87907,0.0006832,0.0006832,0.0006832
50,22111.1,0.80316,0.45008,0.8707,0.90505,0.89166,0.88702,0.61684,0.89509,0.44615,0.8816,0.0006766,0.0006766,0.0006766
51,22550.9,0.81062,0.4544,0.87125,0.87084,0.88768,0.88063,0.62288,0.87233,0.43942,0.8755,0.00067,0.00067,0.00067
52,22989.8,0.80888,0.45287,0.87088,0.90514,0.88811,0.88712,0.62027,0.88046,0.44353,0.87858,0.0006634,0.0006634,0.0006634
53,23428.1,0.80326,0.44982,0.869,0.9075,0.88582,0.88845,0.62252,0.87602,0.43912,0.87665,0.0006568,0.0006568,0.0006568
54,23867.1,0.79932,0.45226,0.86779,0.8894,0.8879,0.88478,0.62346,0.8747,0.43803,0.8787,0.0006502,0.0006502,0.0006502
55,24307.6,0.80156,0.44804,0.86996,0.88925,0.8896,0.88677,0.61843,0.88838,0.44716,0.87936,0.0006436,0.0006436,0.0006436
56,24746,0.80094,0.45272,0.86955,0.8949,0.88088,0.88547,0.61706,0.88183,0.43846,0.87923,0.000637,0.000637,0.000637
57,25187,0.80256,0.44815,0.87049,0.90307,0.89189,0.89452,0.6232,0.87329,0.43575,0.87907,0.0006304,0.0006304,0.0006304
58,25626.6,0.80921,0.44809,0.8693,0.89037,0.88807,0.88153,0.62255,0.88047,0.43612,0.87779,0.0006238,0.0006238,0.0006238
59,26065.1,0.80119,0.44707,0.86773,0.89397,0.89157,0.88894,0.62504,0.87013,0.43664,0.8754,0.0006172,0.0006172,0.0006172
60,26504.8,0.79551,0.44456,0.86805,0.8951,0.88476,0.89185,0.62582,0.87177,0.43615,0.87593,0.0006106,0.0006106,0.0006106
61,26948.4,0.79926,0.44795,0.86848,0.87942,0.88378,0.88285,0.62297,0.88359,0.43943,0.87843,0.000604,0.000604,0.000604
62,27387,0.79293,0.44085,0.86637,0.90372,0.88552,0.88825,0.62659,0.87472,0.43423,0.87733,0.0005974,0.0005974,0.0005974
63,27826,0.79847,0.44701,0.86815,0.89017,0.88013,0.87644,0.61797,0.87707,0.43579,0.87834,0.0005908,0.0005908,0.0005908
64,28264.8,0.78866,0.44226,0.86625,0.88958,0.88962,0.8899,0.62428,0.87069,0.43091,0.87629,0.0005842,0.0005842,0.0005842
65,28702.4,0.78603,0.43898,0.86494,0.90034,0.88694,0.88602,0.62557,0.87035,0.43391,0.87621,0.0005776,0.0005776,0.0005776
66,29141.5,0.78611,0.43832,0.86335,0.89447,0.89314,0.88887,0.62836,0.87044,0.42854,0.87797,0.000571,0.000571,0.000571
67,29583.5,0.78802,0.43749,0.86348,0.89716,0.89513,0.89065,0.62606,0.87561,0.43036,0.87672,0.0005644,0.0005644,0.0005644
68,30022.4,0.77551,0.43189,0.86256,0.90352,0.89472,0.8916,0.62725,0.86309,0.42756,0.87456,0.0005578,0.0005578,0.0005578
